order_index,speaker,text
9,Bernard,"It's awful, isn't it?"
10,Humphrey,"What is awful, Bernard?"
11,Bernard,"Well, all these jobs going. Interest rates. Repossessions. Fear of inflation. Foreclosures."
12,Humphrey,Oh yes. Terrible.
13,Bernard,"You don't sound terribly worried, Sir Humphrey."
14,Humphrey,"Bernard, I am not being sacked, repossessed, inflated or foreclosed. Neither are you."
15,Bernard,Nor's the Prime Minister. But he's worried stiff.
16,Humphrey,So he should be.
17,Bernard,You don't sympathise with him?
18,Humphrey,"That's the deal. That's how Prime Ministers' careers go. They get to be on the front page every day for years, which they love. They travel the long path from euphoric triumph to ignominious failure and then make way for the next saviour of the nation. It's called democracy."
19,Bernard,It beats me why anyone would want to be Prime Minister.
20,Humphrey,"It's the only top job that requires no previous experience, no training, no qualifications and limited intelligence."
21,Bernard,"Sir Humphrey ... You do believe in democracy, don't you?"
22,Humphrey,"Do I, Bernard? Actually no, not as most people understand it. Democracy should nor be about executing the will of the people. It should be the process whereby we secure the consent of the people to the policies of those qualified to decide on their behalf."
23,Bernard,Like who?
24,Humphrey,"Like us, Bernard."
25,Bernard,"I believe in democracy, Sir Humphrey."
26,Humphrey,"It does you credit. And if all the voters were as informed and intelligent as - say - me, or even you, it could possibly work. But that's hardly realistic."
27,Bernard,"Well, obviously we have to stop the government making stupid mistakes. If I did everything the Prime Minister told me to do, I'd be fired within a week, and rightly so. But I am there to help him."
28,Humphrey,"Bernard, we have a leadership crisis in this country. If the government can't or won't exercise it, it falls ro us, whether we want it or not."
29,Bernard,I know. Power abhors a vacuum.
31,Humphrey,"And we are currently led by one. We should exercise power because we have nothing to gain or lose personally: we have respectable salaries, honours, an office and a chauffeur ..."
32,Bernard,I haven't got a chauffeur ...
33,Humphrey,"You will, Bernard, when you grow up. We end up with an index-linked pension, a bank directorship, a couple of nicely remunerated quangos and a cottage in the Dordogne. So we can be entirely even-handed in our judgements and make them in the public interest."
34,Bernard,"Well, things may not seem so bad soon, when we tell the Prime Minister about Kumranistan."
36,Humphrey,Bernard! Do not mention the ECB co the Prime Minister. You know his views.
37,Bernard,I know he's afraid that Brussels will take away most of his powers.
38,Humphrey,"They already have. And so they should. All we need him to do is preside at tonight's dinner, pretend he's read the Kumranistan plan, and leave the rest to us."
39,Jim,"Hacker, the Prime Minister; enters right. He is followed by a Driver carrying a pile of five Red Boxes."
40,Jim,"Sorry I'am late, it's been a terrible day."
41,Humphrey,Any particular reason?
43,Jim,You've read about the Cabinet split?
44,Humphrey,Yes.
45,Jim,You've seen what's happened to the Footsie and the pound?
47,Humphrey,Yes.
48,Jim,So how many particular reasons do you want?
